"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-21",,"26.1","8.9","10.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-22",,"28.9","10.0","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-23",,"31.1","16.1","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-24",,"31.1","12.8","13.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-25",,"18.3","12.2","13.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-26",,"24.4","13.9","18.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-27",,"30.0","18.3","18.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-28",,"27.2","11.7","13.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-29",,"18.9","7.8","7.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-30",,"9.4","7.2","7.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-31",,"10.0","7.2","10.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-01",,"21.7","8.3","10.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-02",,"23.9","10.0","13.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-03",,"24.4","13.3","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-04",,"22.2","14.4","19.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-05",,"25.6","15.0","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-06",,"31.7","15.6","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-07",,"32.8","20.0","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-08",,"32.8","21.7","22.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-09",,"31.7","20.0","21.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-10",,"31.7","20.0","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-11",,"28.3","14.4","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-12",,"21.1","15.0","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-13",,"20.6","12.2","14.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-14",,"21.7","14.4","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-15",,"25.0","16.7","17.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-16",,"26.1","13.3","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-17",,"23.9","8.9","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-18",,"25.0","10.0","11.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-19",,"27.8","11.7","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-20",,"31.7","15.0","18.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-21",,"29.4","17.8","23.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-22",,"30.6","20.6","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-23",,"22.8","10.6","12.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-24",,"23.9","9.4","10.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-25",,"25.0","10.0","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-26",,"27.2","12.8","19.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-27",,"28.3","18.9","23.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-28",,"31.1","22.8","23.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-29",,"32.8","23.9","25.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-06-30",,"33.9","25.0","25.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-01",,"35.0","22.8","22.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-02",,"28.3","20.6","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-03",,"27.2","15.0","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-04",,"19.4","15.0","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-05",,"26.7","15.6","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-06",,"30.0","16.7","22.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-07",,"33.3","20.0","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-08",,"32.8","20.6","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-09",,"30.6","21.1","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-10",,"29.4","19.4","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-11",,"27.2","19.4","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-12",,"26.1","20.6","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-13",,"31.7","20.0","20.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-14",,"23.9","20.0","21.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-15",,"30.6","19.4","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-16",,"31.7","20.6","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-17",,"32.8","21.1","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-18",,"33.3","21.7","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-19",,"27.8","21.1","21.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-20",,"28.3","20.6","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-21",,"30.0","19.4","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-22",,"27.8","15.0","16.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-23",,"26.7","16.7","18.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-24",,"27.8","14.4","15.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-25",,"28.9","15.0","19.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-26",,"28.9","19.4","22.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-27",,"31.7","17.8","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-28",,"32.8","18.3","20.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-29",,"27.8","16.1","17.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-30",,"25.0","17.8","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-31",,"27.8","11.7","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-01",,"25.0","13.3","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-02",,"23.9","15.0","17.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-03",,"26.1","12.8","13.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-04",,"25.0","13.3","15.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-05",,"24.4","15.6","18.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-06",,"27.8","15.6","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-07",,"31.1","15.6","17.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-08",,"30.0","17.8","18.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-09",,"26.7","18.9","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-10",,"28.9","20.0","21.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-11",,"29.4","21.1","21.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-12",,"32.2","21.1","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-13",,"33.3","21.7","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-14",,"34.4","21.7","23.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-15",,"30.6","16.1","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-16",,"27.2","16.1","17.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-17",,"26.7","17.2","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-18",,"27.2","20.6","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-19",,"29.4","22.2","23.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-20",,"29.4","21.7","22.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-21",,"27.2","18.9","20.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-22",,"27.8","20.6","23.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-23",,"23.3","20.6","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-24",,"28.9","20.6","23.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-25",,"31.7","18.9","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-26",,"33.3","21.1","22.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-27",,"33.3","21.7","23.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-28",,"33.3","22.2","22.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-29",,"22.8","18.9","18.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-30",,"23.9","18.9","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-08-31",,"30.0","21.1","21.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-09-01",,"28.3","20.0","20.0"
